AMICA;AMC;PLAMICA00010
APATOR;APT;PLAPATR00018
HANDLOWY;BHW;PLBH00000012
MILLENNIUM;MIL;PLBIG0000016
BENEFIT;BFT;PLBNFTS00018
BORYSZEW;BRS;PLBRSZW00011
BUDIMEX;BDX;PLBUDMX00013
CDPROJEKT;CDR;PLOPTTC00011
CIGAMES;CIG;PLCTINT00018
CIECH;CIE;PLCIECH00018
COMARCH;CMR;PLCOMAR00012
DINOPL;DNP;PLDINPL00011
ENEA;ENA;PLENEA000013
FORTE;FTE;PLFORTE00012
GETINOBLE;GNB;PLGETBK00012
GPW;GPW;PLGPW0000017
GTC;GTC;PLGTC0000037
GRUPAAZOTY;ATT;PLZATRM00012
KETY;KTY;PLKETY000011
INGBSK;ING;PLBSK0000017
INTERCARS;CAR;PLINTCS00010
KERNEL;KER;LU0327357389
KRUK;KRU;PLKRK0000010
BOGDANKA;LWB;PLLWBGD00016
MEDICALG;MDG;PLMDCLG00015
NETIA;NET;PLNETIA00014
NEUCA;NEU;PLTRFRM00018
ORBIS;ORB;PLORBIS00014
PFLEIDER;PFL;PLZPW0000017
PKPCARGO;PKP;PLPKPCR00011
PLAY;PLY;LU1642887738
POLIMEXMS;PXM;PLMSTSD00019
SANOK;SNK;PLSTLSK00016
STALPROD;STP;PLSTLPD00017
TRAKCJA;TRK;PLTRKPL00014
WAWEL;WWL;PLWAWEL00013
