11BIT;11B;PL11BTS00015
ABPL;ABE;PLAB00000019
ACAUTOGAZ;ACG;PLACSA000014
AGORA;AGO;PLAGORA00067
ALCHEMIA;ALC;PLGRBRN00012
ALTUSTFI;ALI;PLATTFI00018
ALUMETAL;AML;PLALMTL00023
ARCTIC;ATC;PLARTPR00012
ASBIS;ASB;CY1000031710
ASSECOBS;ABS;PLABS0000018
ASSECOSEE;ASE;PLASSEE00014
ASTARTA;AST;NL0000686509
ATAL;1AT;PLATAL000046
AUTOPARTN;APR;PLATPRT00018
BOS;BOS;PLBOS0000019
BIOTON;BIO;PLBIOTN00029
BRASTER;BRA;PLBRSTR00014
BUMECH;BMC;PLBMECH00012
CLNPHARMA;CLN;PLCLNPH00015
CFI;CFI;PLINTKS00013
COMP;CMP;PLCMP0000017
DOMDEV;DOM;PLDMDVL00012
ECHO;ECH;PLECHPS00019
EKOEXPORT;EEX;PLEKEP000019
ELBUDOWA;ELB;PLELTBD00017
ELEMENTAL;EMT;PLELMTL00017
ENTER;ENT;PLENTER00017
SNIEZKA;SKA;PLSNZKA00033
FAMUR;FMF;PLFAMUR00012
FERRO;FRO;PLFERRO00016
DEBICA;DBC;PLDEBCA00016
GETBACK;GBK;PLGTBCK00297
GETIN;GTN;PLGSPR000014
GPRE;GPR;NL0012235980
GROCLIN;GCN;PLINTGR00013
POLICE;PCE;PLZCPLC00036
IDEABANK;IDA;PLIDEAB00013
IMPEXMET;IPX;PLIMPXM00019
ITMTRADE;ITM;PLBRIJU00010
IZOBLOK;IZB;PLIZBLK00010
LCCORP;LCC;PLLCCRP00017
LENTEX;LTX;PLLENTX00010
LIVECHAT;LVC;PLLVTSF00010
MABION;MAB;PLMBION00016
MANGATA;MGT;PLZTKMA00017
MCI;MCI;PLMCIMG00012
MENNICA;MNC;PLMNNCP00011
MLPGROUP;MLG;PLMLPGR00017
MONNARI;MON;PLMNRTR00012
MOSTALZAB;MSZ;PLMSTZB00018
NEWAG;NWG;PLNEWAG00012
OPONEO.PL;OPN;PLOPNPL00013
PBG;PBG;PLPBG0000029
PCCROKITA;PCR;PLPCCRK00076
PEP;PEP;PLPLSEP00013
POLNORD;PND;PLPOLND00019
PHN;PHN;PLPHN0000014
POLWAX;PWX;PLPOLWX00026
PRAIRIE;PDZ;AU000000PDZ2
PCM;PCM;PLPRMCM00048
PRIMETECH;PTH;PLKOPEX00018
CORMAY;CRM;PLCMRAY00029
RAFAKO;RFK;PLRAFAK00018
RAINBOW;RBW;PLRNBWT00031
RANKPROGR;RNK;PLRNKPR00014
SELVITA;SLV;PLSELVT00013
STALEXP;STX;PLSTLEX00019
STELMET;STL;PLSTLMT00010
TIM;TIM;PLTIM0000016
TORPOL;TOR;PLTORPL00016
URSUS;URS;PLPMWRM00012
ABCDATA;ABC;PLABCDT00014
VRG;VRG;PLVSTLA00011
WIELTON;WLT;PLWELTN00012
WIRTUALNA;WPL;PLWRTPL00027
WORKSERV;WSE;PLWRKSR00019
XTB;XTB;PLXTRDM00011
KOGENERA;KGN;PLKGNRC00015
ZEPAK;ZEP;PLZEPAK00012
